Parameter,Value_1,Value_2,Value_3,Value_4,Value_5,Value_6,Value_7,Value_8,Value_9,Value_10,Value_11,Value_12,Value_13,Value_14,Value_15,Value_16,Value_17,Value_18,Value_19,Value_20,Value_21,Value_22,Value_23,Value_24,Value_25,Value_26,Value_27,Value_28,Value_29,Value_30,Value_31,Value_32,Value_33,Value_34,Value_35,Value_36,Value_37,Value_38,Value_39,Value_40,Value_41,Value_42,Value_43,Value_44,Value_45,Value_46,Value_47,Value_48,Value_49,Value_50,Value_51,Value_52,Value_53,Value_54,Value_55,Value_56,Value_57,Value_58,Value_59,Value_60,Value_61,Value_62,Value_63,Value_64,Value_65,Value_66,Value_67,Value_68,Value_69,Value_70,Value_71,Value_72,Value_73,Value_74,Value_75,Value_76,Value_77,Value_78,Value_79,Value_80,Value_81,Value_82,Value_83,Value_84,Value_85,Value_86,Value_87,Value_88,Value_89,Value_90,Value_91,Value_92,Value_93,Value_94,Value_95,Value_96,Value_97,Value_98,Value_99,Value_100
MTOW (kg),20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wing Area (m^2),1.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wing Loading (N/m^2),164.873949579832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cruise CL,10.7672783399074,9.57189070380339,8.56505924920318,7.70911644454908,6.97535164316428,6.34157172101631,5.7904030183502,5.30808787331786,4.88361770602214,4.50809923573977,4.1742848387893,3.87622020236666,3.60897695049527,3.36844760475701,3.15118680789012,2.9542872542603,2.77528192003767,2.61206640948076,2.46283682254971,2.32603969691711,2.20033141530478,2.08454508660607,1.97766336855442,1.87879604424918,1.78716142541673,1.70207085384804,1.62291572486632,1.54915657446943,1.48031386342118,1.41596016328452,1.35571350585723,1.2992317021783,1.24620747286206,1.19636425998971,1.14945261368093,1.10524706495986,1.06354341153371,1.02415635532878,0.986917440632872,0.951673249911464,0.918283821141761,0.886621256117894,0.856568493838787,0.828018226972611,0.80087194263774,0.775039071462697,0.750436231178186,0.726986552926973,0.704619080112923,0.683268230998144,0.662873317437908,0.643378113150022,0.624730465776501,0.60688194773351,0.589787541479762,0.573405355379684,0.557696366808996,0.542624189558015,0.528154862941271,0.514256660328895,0.500899915082197,0.488056862108601,0.475701493454467,0.463809426532145,0.452357783733619,0.441325082319965,0.430691133596296,0.420436950487975,0.410544662727466,0.40099743894392,0.391779415020854,0.382875628152136,0.374271956084112,0.365955061082961,0.357912338211872,0.350131867543347,0.342602369968127,0.335313166294694,0.328254139362256,0.321415698916125,0.314788749017669,0.308364657781963,0.302135229255048,0.296092677259644,0.290229601053418,0.284538962657651,0.279014065726571,0.273648535838856,0.268436302102954,0.26337157997707,0.258448855213012,0.253662868840652,0.249008603116633,0.244481268367197,0.240076290660698,0.235789300250541,0.231616120734008,0.227552758876733,0.223595395056524,0.219740374283824
Cruise CD,5.74254309264349,4.54453548819383,3.64475071617159,2.95837587687383,2.42745145359812,2.01157916093123,1.68209567248184,1.41833354413349,1.20517062895508,1.03139298403268,0.888581982134025,0.770345584806596,0.671779478513773,0.589084178227492,0.519289514228198,0.460054058850959,0.409517513642848,0.366190965106649,0.328874515955108,0.296594910308014,0.268557902828237,0.244111599153647,0.222718030197469,0.20393095580394,0.187378417207918,0.172748935786642,0.159780530730635,0.148251930165512,0.13797549958362,0.128791522710029,0.120563553421518,0.113174620415385,0.106524114286785,0.100525223365969,0.095102812903545,0.0901916640436681,0.0857350060270843,0.0816832883628542,0.077993150158501,0.0746265520515011,0.071550042732497,0.068734137267782,0.0661527886033806,0.0637829369873582,0.0616041247526892,0.0595981660938039,0.0577488632503127,0.0560417619633797,0.0544639402584103,0.0530038255832702,0.0516510361347837,0.0503962428701462,0.049231049250052,0.0481478862175765,0.0471399202979444,0.0462009730227976,0.0453254501494503,0.0445082793698158,0.043744855392514,0.0430309914410783,0.0423628763460825,0.0417370365234287,0.0411503022283086,0.0405997775572102,0.0400828137410928,0.0395969853333707,0.0391400689482296,0.0387100242493573,0.0383049769275158,0.0379232034384416,0.0375631173011103,0.0372232567811101,0.0369022738052777,0.0365989239723401,0.0363120575404734,0.0360406112867679,0.0357836011458745,0.0355401155458402,0.0353093093685304,0.0350903984702685,0.0348826547055457,0.0346854014029981,0.034498009248441,0.0343198925346662,0.0341505057420574,0.0339893404179119,0.033835922325757,0.033689808838952,0.0335505865555369,0.0334178691136559,0.0332912951889878,0.03317052665749,0.033055246908431,0.0329451592941758,0.0328399857045148,0.0327394652545202,0.032643353075971,0.0325514192033432,0.0324634475462163,0.0323792349407095
Cruise Power (W),361.63151994095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hover Power (W),1395.18621728622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Battery Capacity (Ah),32.5794162108964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Endurance (hr),4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Static Margin (%),20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
